sequence,fps,bd_vmaf_pct,bd_vmaf_neg_pct,bd_psnr_y_pct,bd_ms_ssim_pct,outlier_class
videoSRC01,30,-41.84,-4.77,75.31,14.05,
videoSRC02,30,-15.85,-6.10,18.30,1.27,
videoSRC03,30,-28.94,-5.75,22.75,5.22,
videoSRC04,30,-17.62,-5.93,27.47,-0.57,
videoSRC05,25,-8.80,3.27,22.76,2.81,
videoSRC06,25,-23.43,-7.20,85.25,25.12,
videoSRC07,25,-25.57,-4.29,30.27,2.36,
videoSRC08,25,-26.06,-0.34,63.52,8.86,
videoSRC09,25,68.63,77.23,66.86,16.89,distribution_shift
videoSRC10,30,-17.88,18.38,27.75,8.97,
videoSRC11,30,-14.57,-4.35,28.24,5.02,
videoSRC12,30,-17.41,-0.86,17.05,3.36,
videoSRC13,30,152.83,148.94,113.36,25.12,rate_floor_violation
videoSRC14,30,-14.28,-1.50,20.17,0.94,
videoSRC15,30,-34.40,0.91,21.17,4.54,
videoSRC16,30,-23.53,-3.26,52.95,2.04,
videoSRC17,24,-24.37,-6.73,25.75,0.31,
videoSRC18,25,-12.31,-0.43,24.21,2.02,
videoSRC19,30,-15.98,-3.83,21.16,0.44,
videoSRC20,25,-20.66,-5.94,15.66,-1.16,
videoSRC21,24,-29.13,-6.00,136.94,13.62,
videoSRC22,24,-11.36,-4.24,21.95,3.84,
videoSRC23,24,-26.50,-6.04,21.40,5.83,
videoSRC24,24,-11.70,5.02,32.60,6.49,
videoSRC25,24,-7.32,4.87,18.28,2.76,
videoSRC26,30,-15.58,-1.62,35.81,2.67,
videoSRC27,30,-18.42,-3.57,20.39,1.25,
videoSRC28,30,-16.12,-0.38,22.50,-5.11,
videoSRC29,24,-52.14,-15.49,,36.29,metric_saturation
videoSRC30,30,-33.82,-3.69,55.74,10.98,
mean_n30,,-12.80,5.21,39.50,6.87,
mean_n27_ex_outliers,,-20.50,-2.01,35.75,4.74,
median_n30,,-17.75,-3.63,25.75,3.60,
